"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"47.0","99999.0","6.30310303103031","0.0992","0.9612592251845037","0.7191532550384225","0.7","4","28","4960","48062","1937","45040"
"48.0","99999.0","6.30310303103031","0.0786","0.9740394807896158","0.7517214996174445","0.7","5","28","3930","48701","1298","46070"
"49.0","99999.0","6.30310303103031","0.0561","0.9848596971939438","0.787478944413251","0.7","6","28","2805","49242","757","47195"
"50.0","99999.0","6.30310303103031","0.03606","0.992759855197104","0.8327944572748268","0.7","7","28","1803","49637","362","48197"
"51.0","99999.0","6.30310303103031","0.02364","0.996419928398568","0.8684790595150624","0.7","8","28","1182","49820","179","48818"
"52.0","99999.0","6.30310303103031","0.01412","0.9984999699993999","0.9039692701664532","0.7","9","28","706","49924","75","49294"
"53.0","99999.0","6.30310303103031","0.00744","0.999479989599792","0.9346733668341709","0.7","10","28","372","49973","26","49628"
"54.0","99999.0","6.30310303103031","0.00366","0.999739994799896","0.9336734693877551","0.7","11","28","183","49986","13","49817"
"55.0","99999.0","6.30310303103031","0.00158","0.999919998399968","0.9518072289156626","0.7","12","28","79","49995","4","49921"
"56.0","99999.0","6.30310303103031","4.6E-4","0.999979999599992","0.9583333333333334","0.7","13","28","23","49998","1","49977"
"57.0","99999.0","6.30310303103031","1.2E-4","1.0","1.0","0.7","14","28","6","49999","0","49994"
"58.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7","15","28","0","49999","0","50000"
"59.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7","16","28","0","49999","0","50000"
"60.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7","17","28","0","49999","0","50000"
"61.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7","18","28","0","49999","0","50000"
"62.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7","19","28","0","49999","0","50000"
"63.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7","20","28","0","49999","0","50000"
"64.0","99999.0","6.30310303103031","0.00718","0.994659893197864","0.5734824281150159","0.7999999999999999","0","28","359","49732","267","49641"
"65.0","99999.0","6.30310303103031","0.00718","0.994659893197864","0.5734824281150159","0.7999999999999999","1","28","359","49732","267","49641"
