"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"51.0","500000.0","8.823886","0.603116","0.987672","0.9799689329979657","0.7","8","28","150779","246918","3082","99221"
"52.0","500000.0","8.823886","0.591392","0.991412","0.9856861895396514","0.7","9","28","147848","247853","2147","102152"
"53.0","500000.0","8.823886","0.576136","0.99384","0.9894211878494786","0.7","10","28","144034","248460","1540","105966"
"54.0","500000.0","8.823886","0.55576","0.99572","0.9923576887365189","0.7","11","28","138940","248930","1070","111060"
"55.0","500000.0","8.823886","0.52956","0.99706","0.9944788732394366","0.7","12","28","132390","249265","735","117610"
"56.0","500000.0","8.823886","0.495508","0.997932","0.9958438509895976","0.7","13","28","123877","249483","517","126123"
"57.0","500000.0","8.823886","0.456508","0.998668","0.9970906867027782","0.7","14","28","114127","249667","333","135873"
"58.0","500000.0","8.823886","0.408032","0.999132","0.9978772315969675","0.7","15","28","102008","249783","217","147992"
"59.0","500000.0","8.823886","0.357208","0.999528","0.9986803847014091","0.7","16","28","89302","249882","118","160698"
"60.0","500000.0","8.823886","0.302296","0.99972","0.9990746126592989","0.7","17","28","75574","249930","70","174426"
"61.0","500000.0","8.823886","0.250796","0.99988","0.9995217522995744","0.7","18","28","62699","249970","30","187301"
"62.0","500000.0","8.823886","0.202664","0.999984","0.9999210578251431","0.7","19","28","50666","249996","4","199334"
"63.0","500000.0","8.823886","0.164396","0.999996","0.9999756690997567","0.7","20","28","41099","249999","1","208901"
"64.0","500000.0","8.823886","0.322284","0.92368","0.8085317758978836","0.7999999999999999","0","28","80571","230920","19080","169429"
"65.0","500000.0","8.823886","0.322284","0.923728","0.8086291512359618","0.7999999999999999","1","28","80571","230932","19068","169429"
"66.0","500000.0","8.823886","0.32208","0.970644","0.9164684323746002","0.7999999999999999","2","28","80520","242661","7339","169480"
"67.0","500000.0","8.823886","0.32182","0.97418","0.9257277643539293","0.7999999999999999","3","28","80455","243545","6455","169545"
"68.0","500000.0","8.823886","0.321316","0.982824","0.9492572941162568","0.7999999999999999","4","28","80329","245706","4294","169671"
"69.0","500000.0","8.823886","0.320188","0.990328","0.9706784696537926","0.7999999999999999","5","28","80047","247582","2418","169953"
"70.0","500000.0","8.823886","0.318128","0.99388","0.9811255582146998","0.7999999999999999","6","28","79532","248470","1530","170468"
"71.0","500000.0","8.823886","0.315352","0.996624","0.9894078963881429","0.7999999999999999","7","28","78838","249156","844","171162"
"72.0","500000.0","8.823886","0.31222","0.997904","0.9933315516868374","0.7999999999999999","8","28","78055","249476","524","171945"
"73.0","500000.0","8.823886","0.307216","0.99878","0.9960445602977603","0.7999999999999999","9","28","76804","249695","305","173196"
"74.0","500000.0","8.823886","0.300816","0.999224","0.9974269874532481","0.7999999999999999","10","28","75204","249806","194","174796"
"75.0","500000.0","8.823886","0.292028","0.99952","0.9983590192404994","0.7999999999999999","11","28","73007","249880","120","176993"
"76.0","500000.0","8.823886","0.280964","0.99968","0.9988623597502879","0.7999999999999999","12","28","70241","249920","80","179759"
"77.0","500000.0","8.823886","0.266328","0.999796","0.9992346134798074","0.7999999999999999","13","28","66582","249949","51","183418"
