"Sample"	"Contamination Status"	"Overall Homoplasmies"	"Overall Heteroplasmies"	"Sample Coverage"	"Major Haplogroup"	"Major Haplogroup Quality"	"Minor Haplogroup"	"Minor Haplogroup Quality"	"Amount Major Homoplasmies"	"Amount Minor Homoplasmies"	"Amount Major Heteroplasmies"	"Amount Minor Heteroplasmies"	"Major Heteroplasmy Level"	"Minor Heteroplasmy Level"	"Distance"	"Clusters"
"HG00257.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"27"	"20"	"2488"	"J1c8a"	"1.000"	"J1c8a"	"0.933"	"27"	"27"	"0"	"0"	" "	" "	"0"	""
"HG00258.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"YES"	"20"	"25"	"3195"	"J1c2q"	"0.990"	"J1c8"	"0.829"	"19"	"19"	"3"	"0"	"0.988"	" "	"3"	"0.988 (3);"
"HG00259.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"33"	"9"	"2701"	"T2b4+152"	"0.983"	"T2b4+152"	"0.940"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG00260.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"30"	"16"	"2907"	"U5b2a2c"	"0.977"	"U5b2a2c"	"0.944"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG00261.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"34"	"16"	"2867"	"J1c2"	"0.939"	"J1c2"	"0.886"	"27"	"27"	"0"	"0"	" "	" "	"0"	""
"HG00262.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"YES"	"26"	"23"	"1807"	"T2b13"	"1.000"	"T1a1"	"0.908"	"24"	"23"	"6"	"2"	"0.984"	"0.011"	"8"	"0.01 - 0.012 (2);0.981 - 0.99 (6);"
"HG00263.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"NO"	"27"	"22"	"1212"	"U8a1b"	"0.978"	"U8a1b"	"0.910"	"26"	"26"	"1"	"0"	"0.989"	" "	"0"	"0.989 (1);"
"HG00264.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"YES"	"8"	"21"	"1427"	"H5s"	"1.000"	"J1"	"0.808"	"8"	"6"	"2"	"9"	"0.984"	"0.011"	"11"	"0.009 - 0.015 (9);0.983 - 0.985 (2);"
"HG00265.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"NO"	"34"	"20"	"1808"	"T2b19"	"1.000"	"T2b19"	"0.961"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG00266.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"13"	"11"	"832"	"H1f1"	"1.000"	"H1f1"	"0.921"	"12"	"12"	"0"	"0"	" "	" "	"0"	""
