"Sample"	"Contamination Status"	"Overall Homoplasmies"	"Overall Heteroplasmies"	"Sample Coverage"	"Major Haplogroup"	"Major Haplogroup Quality"	"Minor Haplogroup"	"Minor Haplogroup Quality"	"Amount Major Homoplasmies"	"Amount Minor Homoplasmies"	"Amount Major Heteroplasmies"	"Amount Minor Heteroplasmies"	"Major Heteroplasmy Level"	"Minor Heteroplasmy Level"	"Distance"	"Clusters"
"HG01694.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"38"	"14"	"2023"	"J1b1a1"	"0.974"	"J1b1a1"	"0.945"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"HG01695.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"9"	"7"	"1541"	"H7"	"0.961"	"H7"	"0.961"	"7"	"7"	"0"	"0"	" "	" "	"0"	""
"HG01697.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"34"	"12"	"3737"	"T1a1"	"0.986"	"T1a1"	"0.931"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG01699.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"13"	"10"	"3035"	"H56"	"0.841"	"H56"	"0.800"	"7"	"7"	"0"	"0"	" "	" "	"0"	""
"HG01700.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam"	"NO"	"15"	"23"	"2167"	"V3a"	"0.949"	"V3a"	"0.844"	"13"	"13"	"0"	"0"	" "	" "	"0"	""
"HG01702.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam"	"NO"	"36"	"11"	"2126"	"T2b33"	"0.961"	"T2b33"	"0.909"	"33"	"33"	"0"	"0"	" "	" "	"0"	""
"HG01704.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"15"	"16"	"2447"	"V"	"0.838"	"V+@72"	"0.754"	"10"	"10"	"0"	"0"	" "	" "	"1"	""
"HG01705.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"36"	"9"	"2842"	"U2e1a1"	"1.000"	"U2e1a1"	"0.996"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"HG01707.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"33"	"4"	"1802"	"U4b3"	"0.932"	"U4b3"	"0.910"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG01708.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"11"	"6"	"2807"	"H40"	"0.905"	"H40"	"0.905"	"7"	"7"	"0"	"0"	" "	" "	"0"	""
"HG01709.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"10"	"9"	"2416"	"H34"	"0.971"	"H34"	"0.951"	"8"	"8"	"0"	"0"	" "	" "	"0"	""
"HG01710.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"14"	"19"	"1961"	"HV4a1a"	"0.982"	"HV4a1a"	"0.846"	"13"	"13"	"0"	"0"	" "	" "	"0"	""
"HG01746.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"26"	"11"	"1845"	"U5b"	"0.915"	"U5b3a2"	"0.923"	"22"	"24"	"0"	"0"	" "	" "	"3"	""
"HG01747.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"9"	"16"	"2423"	"H"	"0.873"	"H"	"0.824"	"6"	"6"	"0"	"0"	" "	" "	"0"	""
"HG01756.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"13"	"15"	"2896"	"H17a"	"0.898"	"H17a"	"0.813"	"9"	"9"	"0"	"0"	" "	" "	"0"	""
"HG01757.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"30"	"8"	"3301"	"U4a2"	"0.960"	"U4a2"	"0.946"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG01761.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"32"	"16"	"3752"	"L3d1b1"	"0.994"	"L3d1b1"	"0.950"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG01762.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"27"	"24"	"3334"	"U5b3"	"0.925"	"U5b3"	"0.819"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"HG01765.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam"	"NO"	"11"	"20"	"1908"	"H1ba"	"0.841"	"H1ba"	"0.720"	"8"	"8"	"0"	"0"	" "	" "	"0"	""
"HG01766.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam"	"NO"	"37"	"7"	"2850"	"N1b1a2"	"0.973"	"N1b1a2"	"0.963"	"33"	"33"	"0"	"0"	" "	" "	"0"	""
"HG01767.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam"	"NO"	"13"	"13"	"2217"	"V25"	"1.000"	"V25"	"0.936"	"13"	"13"	"0"	"0"	" "	" "	"0"	""
"HG01768.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam"	"NO"	"15"	"9"	"1753"	"H6a1b2d"	"1.000"	"H6a1b2d"	"1.000"	"15"	"15"	"0"	"0"	" "	" "	"0"	""
"HG01770.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"13"	"12"	"3325"	"H3af"	"0.837"	"H3af"	"0.776"	"9"	"9"	"0"	"0"	" "	" "	"0"	""
"HG01771.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"18"	"24"	"3209"	"H4a1a4a"	"0.957"	"H4a1a4a"	"0.860"	"16"	"16"	"0"	"0"	" "	" "	"0"	""
"HG01773.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"13"	"16"	"1750"	"H6a1a"	"1.000"	"H6a1a"	"0.934"	"13"	"13"	"0"	"0"	" "	" "	"0"	""
"HG01775.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"26"	"9"	"1977"	"U5a2c"	"0.993"	"U5a2c"	"0.972"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"HG01776.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"13"	"5"	"1284"	"H1ag"	"0.881"	"H1ag"	"0.877"	"8"	"8"	"0"	"0"	" "	" "	"0"	""
"HG01777.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"15"	"9"	"3051"	"H1c3a"	"0.946"	"H1c3a"	"0.944"	"13"	"13"	"0"	"0"	" "	" "	"0"	""
"HG01779.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"11"	"11"	"2185"	"H"	"0.869"	"H"	"0.812"	"6"	"6"	"0"	"0"	" "	" "	"0"	""
"HG01781.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"18"	"4"	"2102"	"R0a4"	"0.946"	"R0a4"	"0.946"	"18"	"18"	"0"	"0"	" "	" "	"0"	""
"HG01783.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam"	"NO"	"14"	"18"	"1891"	"H4a1a"	"0.974"	"H4a1a"	"0.900"	"13"	"13"	"0"	"0"	" "	" "	"0"	""
"HG01784.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam"	"NO"	"10"	"17"	"2823"	"H1j"	"0.971"	"H1j"	"0.823"	"8"	"8"	"0"	"0"	" "	" "	"0"	""
"HG01785.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam"	"NO"	"10"	"12"	"1222"	"H"	"0.853"	"H"	"0.775"	"6"	"6"	"0"	"0"	" "	" "	"0"	""
"HG01786.mapped.ILLUMINA.bwa.IBS.low_coverage.20130415.bam"	"NO"	"8"	"13"	"1614"	"H1"	"0.950"	"H1"	"0.732"	"6"	"6"	"0"	"0"	" "	" "	"0"	""
"HG01789.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"YES"	"6"	"55"	"1690"	"H5a1c1a"	"0.930"	"J1b1a1a"	"0.958"	"6"	"6"	"7"	"22"	"0.981"	"0.014"	"19"	"0.008 - 0.019 (22);0.976 - 0.985 (7);"
"HG01790.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"NO"	"8"	"10"	"2035"	"H33a"	"1.000"	"H33a"	"0.961"	"8"	"8"	"0"	"0"	" "	" "	"0"	""
"HG01791.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"NO"	"31"	"26"	"1800"	"U5b2c2b"	"0.979"	"U5b2c2b"	"0.860"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG01794.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"32"	"19"	"1494"	"F1a"	"0.895"	"F1a"	"0.878"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"HG01795.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"37"	"5"	"1925"	"M61"	"0.926"	"M61"	"0.926"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG01796.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"28"	"12"	"1521"	"R9b1a3"	"0.911"	"R9b1a3"	"0.874"	"22"	"22"	"0"	"0"	" "	" "	"0"	""
"HG01797.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"34"	"13"	"1759"	"F3a1"	"0.958"	"F3a1"	"0.917"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG01798.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"25"	"26"	"1355"	"B4b1a2"	"0.853"	"B4b1a2"	"0.814"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"HG01799.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"26"	"22"	"1646"	"B4c2"	"0.764"	"B4c2"	"0.758"	"19"	"19"	"0"	"0"	" "	" "	"0"	""
"HG01800.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"32"	"22"	"1697"	"F1a1"	"0.894"	"F1a1'4"	"0.847"	"25"	"25"	"1"	"0"	"0.990"	" "	"1"	"0.99 (1);"
"HG01801.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"29"	"17"	"1410"	"F1a2a"	"0.949"	"F1a2a"	"0.936"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG01802.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"33"	"15"	"1550"	"F1a1"	"0.960"	"F1a1"	"0.941"	"27"	"27"	"0"	"0"	" "	" "	"0"	""
"HG01804.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"43"	"14"	"1899"	"D4b1a"	"0.882"	"D4b1a"	"0.879"	"33"	"33"	"0"	"0"	" "	" "	"0"	""
"HG01805.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"35"	"15"	"1764"	"F1a1a"	"0.927"	"F1a1a"	"0.910"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG01806.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"31"	"20"	"2308"	"F1f"	"0.928"	"F1f"	"0.874"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG01807.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"37"	"10"	"2170"	"D4b2b"	"0.969"	"D4b2b"	"0.969"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"HG01808.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"40"	"25"	"2022"	"C7a"	"0.980"	"C7a"	"0.942"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"HG01809.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"34"	"13"	"1328"	"F1a1a"	"0.935"	"F1a1a"	"0.907"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG01810.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"43"	"11"	"1626"	"M7b1a1+(16192)"	"0.970"	"M7b1a1+(16192)"	"0.957"	"39"	"39"	"0"	"0"	" "	" "	"0"	""
"HG01811.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"22"	"27"	"1627"	"B4c2c"	"0.853"	"B4c2c"	"0.869"	"21"	"21"	"0"	"0"	" "	" "	"0"	""
"HG01812.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"51"	"10"	"1795"	"M12a1a"	"0.891"	"M12a1a"	"0.874"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"HG01813.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"27"	"27"	"1445"	"B5a1a"	"0.889"	"B5a1a"	"0.865"	"24"	"24"	"0"	"0"	" "	" "	"0"	""
"HG01815.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"29"	"26"	"1575"	"B5a1d"	"0.868"	"B5a1d"	"0.861"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG01816.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"36"	"31"	"1955"	"F1a1a"	"0.936"	"F1a1a"	"0.897"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG01817.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam"	"NO"	"40"	"13"	"1704"	"M7b1a1d1"	"0.990"	"M7b1a1d1"	"0.948"	"39"	"39"	"0"	"0"	" "	" "	"0"	""
"HG01840.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"45"	"3"	"161"	"M7b1a1f"	"0.962"	"M7b1a1f"	"0.952"	"39"	"39"	"0"	"0"	" "	" "	"0"	""
"HG01841.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"48"	"2"	"140"	"M7b1a1+(16192)"	"0.926"	"M7b1a1+(16192)"	"0.926"	"39"	"39"	"0"	"0"	" "	" "	"0"	""
"HG01842.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"32"	"8"	"158"	"F1a1a"	"0.955"	"F1a1a"	"0.892"	"27"	"27"	"0"	"0"	" "	" "	"0"	""
"HG01843.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"46"	"2"	"143"	"M7b1a1+(16192)"	"0.942"	"M7b1a1+(16192)"	"0.937"	"39"	"39"	"0"	"0"	" "	" "	"0"	""
"HG01844.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"40"	"7"	"143"	"D4a7"	"0.971"	"D4a7"	"0.974"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"HG01845.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"30"	"18"	"167"	"B5a1a"	"0.859"	"B5a1a"	"0.825"	"24"	"24"	"0"	"0"	" "	" "	"0"	""
"HG01846.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"44"	"6"	"219"	"M7b1a1a3"	"0.943"	"M7b1a1a3"	"0.935"	"40"	"40"	"0"	"0"	" "	" "	"0"	""
"HG01847.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"33"	"8"	"145"	"F1a1a"	"0.965"	"F1a1a"	"0.953"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG01848.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"28"	"16"	"142"	"B5a1d"	"0.891"	"B5a1d"	"0.895"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"HG01849.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"29"	"14"	"184"	"F1f"	"0.914"	"F1f"	"0.843"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"HG01850.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"27"	"12"	"143"	"B5a1a"	"0.891"	"B5a1a"	"0.891"	"24"	"24"	"0"	"0"	" "	" "	"0"	""
"HG01851.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"38"	"7"	"162"	"M7c2"	"0.964"	"M7c2"	"0.971"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"HG01852.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"45"	"14"	"193"	"D5b1c1a"	"0.947"	"D5b1"	"0.883"	"38"	"35"	"1"	"0"	"0.986"	" "	"3"	"0.986 (1);"
"HG01853.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"36"	"7"	"170"	"F1a1a1"	"0.955"	"F1a1a1"	"0.955"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG01855.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"26"	"7"	"135"	"N9a10"	"0.959"	"N9a1'3"	"0.934"	"20"	"20"	"1"	"0"	"0.965"	" "	"2"	"0.965 (1);"
"HG01857.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"33"	"11"	"184"	"F1a1a"	"0.938"	"F1a1a"	"0.856"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG01858.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"35"	"4"	"155"	"F1f"	"0.904"	"F1f"	"0.904"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG01859.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"27"	"18"	"158"	"B5a1"	"0.808"	"B5a1"	"0.788"	"21"	"21"	"0"	"0"	" "	" "	"0"	""
"HG01860.mapped.ILLUMINA.bwa.KHV.low_coverage.20130415.bam"	"NO"	"28"	"22"	"2071"	"F1f"	"0.961"	"F1f"	"0.895"	"24"	"24"	"0"	"0"	" "	" "	"0"	""
"HG01861.mapped.ILLUMINA.bwa.KHV.low_coverage.20130415.bam"	"NO"	"45"	"12"	"1920"	"M7b1a1a3"	"0.954"	"M7b1a1a3"	"0.940"	"41"	"41"	"0"	"0"	" "	" "	"0"	""
"HG01862.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"33"	"19"	"2378"	"F1a1a"	"0.949"	"F1a1a"	"0.916"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG01863.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"29"	"21"	"2255"	"B5a1a"	"0.847"	"B5a1a"	"0.835"	"24"	"24"	"0"	"0"	" "	" "	"0"	""
"HG01864.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"28"	"29"	"2031"	"B5a1a"	"0.844"	"B5a1a"	"0.812"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"HG01865.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"35"	"10"	"2498"	"R22"	"0.829"	"R22"	"0.806"	"19"	"19"	"0"	"0"	" "	" "	"0"	""
"HG01866.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"27"	"28"	"1162"	"B4b1c1"	"0.905"	"B4b1c1"	"0.866"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"HG01867.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"33"	"18"	"1628"	"F3a1"	"0.958"	"F3a1"	"0.914"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG01868.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"26"	"28"	"1526"	"B5a1c"	"0.872"	"B5a1c"	"0.821"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"HG01869.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"22"	"26"	"1827"	"R+16189"	"0.803"	"R+16189"	"0.786"	"12"	"12"	"0"	"0"	" "	" "	"0"	""
"HG01870.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"YES"	"15"	"49"	"263"	"B5a1"	"0.788"	"R9b"	"0.844"	"13"	"11"	"8"	"3"	"0.932"	"0.054"	"7"	"0.043 - 0.074 (3);0.882 - 0.961 (8);"
"HG01871.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"41"	"17"	"290"	"M7b1a1b"	"0.975"	"M7b1a1b"	"0.901"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"HG01872.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"29"	"16"	"266"	"R+16189"	"0.793"	"R+16189"	"0.807"	"12"	"12"	"0"	"0"	" "	" "	"0"	""
"HG01873.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"29"	"37"	"317"	"F1a1a1"	"0.963"	"F1a1'4"	"0.720"	"25"	"23"	"2"	"0"	"0.970"	" "	"3"	"0.965 (1);0.974 (1);"
"HG01874.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"25"	"24"	"228"	"R9b1a1a"	"0.955"	"R9b1a1a"	"0.785"	"21"	"21"	"0"	"0"	" "	" "	"0"	""
"HG01878.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam"	"NO"	"27"	"17"	"197"	"B5a1c"	"0.851"	"B5a1c"	"0.793"	"22"	"22"	"0"	"0"	" "	" "	"0"	""
"HG01879.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam"	"NO"	"36"	"17"	"1455"	"L3b2b"	"0.988"	"L3b2b"	"0.979"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"HG01880.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam"	"NO"	"57"	"14"	"2055"	"L2c1"	"0.980"	"L2c1"	"0.980"	"54"	"54"	"0"	"0"	" "	" "	"0"	""
"HG01882.mapped.ILLUMINA.bwa.ACB.low_coverage.20130415.bam"	"NO"	"77"	"21"	"1996"	"L0a1a2"	"0.986"	"L0a1a2"	"0.961"	"78"	"78"	"0"	"0"	" "	" "	"0"	""
"HG01883.mapped.ILLUMINA.bwa.ACB.low_coverage.20130415.bam"	"NO"	"52"	"21"	"1883"	"L2a1f3"	"0.983"	"L2a1f3"	"0.954"	"50"	"50"	"0"	"0"	" "	" "	"0"	""
"HG01885.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam"	"NO"	"87"	"28"	"1850"	"L1c1d"	"0.934"	"L1c1d"	"0.915"	"73"	"73"	"0"	"0"	" "	" "	"0"	""
"HG01886.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam"	"NO"	"72"	"17"	"322"	"L1b2"	"0.948"	"L1b2"	"0.874"	"65"	"65"	"1"	"0"	"0.965"	" "	"0"	"0.965 (1);"
"HG01889.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam"	"NO"	"53"	"7"	"326"	"L2a1a2"	"0.984"	"L2a1a"	"0.948"	"50"	"50"	"1"	"0"	"0.976"	" "	"1"	"0.976 (1);"
"HG01890.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam"	"NO"	"51"	"15"	"385"	"L2a1f2"	"0.965"	"L2a1f2"	"0.936"	"48"	"48"	"0"	"0"	" "	" "	"0"	""
"HG01892.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"34"	"11"	"161"	"A2+(64)"	"0.936"	"A2+(64)+16129"	"0.882"	"29"	"29"	"0"	"0"	" "	" "	"1"	""
"HG01893.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"32"	"18"	"166"	"B2"	"0.831"	"B2"	"0.784"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"HG01894.mapped.ILLUMINA.bwa.ACB.low_coverage.20130415.bam"	"NO"	"38"	"10"	"194"	"L3d3b"	"0.933"	"L3d3b"	"0.891"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG01896.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam"	"NO"	"54"	"15"	"934"	"L2a1c3a"	"0.971"	"L2a1c3a"	"0.938"	"49"	"49"	"0"	"0"	" "	" "	"0"	""
"HG01912.mapped.ILLUMINA.bwa.ACB.low_coverage.20130415.bam"	"YES"	"25"	"26"	"151"	"L3e2a1b"	"1.000"	"L3'4"	"0.769"	"23"	"18"	"4"	"2"	"0.953"	"0.054"	"7"	"0.04 - 0.067 (2);0.941 - 0.97 (4);"
"HG01914.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam"	"NO"	"34"	"15"	"2176"	"L3b1a"	"0.941"	"L3b1a"	"0.913"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG01915.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam"	"NO"	"50"	"7"	"1326"	"L2a1f"	"0.994"	"L2a1f"	"0.994"	"49"	"49"	"0"	"0"	" "	" "	"0"	""
"HG01917.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"39"	"3"	"111"	"D1"	"0.915"	"D1"	"0.901"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG01918.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"33"	"10"	"126"	"A2+(64)"	"0.944"	"A2+(64)"	"0.889"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG01920.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"32"	"14"	"122"	"B2"	"0.924"	"B2"	"0.793"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"HG01921.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"41"	"4"	"160"	"D1"	"0.928"	"D1"	"0.911"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG01923.mapped.ILLUMINA.bwa.PEL.low_coverage.20130415.bam"	"NO"	"28"	"18"	"2267"	"B2"	"0.848"	"B2"	"0.848"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"HG01924.mapped.ILLUMINA.bwa.PEL.low_coverage.20130415.bam"	"NO"	"34"	"19"	"2783"	"B2b"	"0.797"	"B2b"	"0.774"	"24"	"24"	"0"	"0"	" "	" "	"0"	""
"HG01926.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"28"	"20"	"1448"	"B2"	"0.863"	"B2"	"0.868"	"22"	"22"	"0"	"0"	" "	" "	"0"	""
"HG01927.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"33"	"24"	"2024"	"B2b"	"0.807"	"B2b"	"0.807"	"24"	"24"	"0"	"0"	" "	" "	"0"	""
"HG01932.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"45"	"14"	"2465"	"C"	"0.904"	"C"	"0.904"	"33"	"33"	"0"	"0"	" "	" "	"0"	""
"HG01933.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"52"	"11"	"2243"	"L2a1a"	"1.000"	"L2a1a"	"0.984"	"50"	"50"	"0"	"0"	" "	" "	"0"	""
"HG01935.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"34"	"11"	"2792"	"A2+(64)"	"0.945"	"A2+(64)"	"0.933"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG01936.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam"	"NO"	"28"	"23"	"1740"	"B2b"	"0.901"	"B2b"	"0.863"	"24"	"24"	"0"	"0"	" "	" "	"0"	""
